Golongan Umur,,,,,,
,Pengangguran Menurut Golongan Umur (Orang),,,,,
,Pernah Bekerja,,Tidak Pernah Bekerja,,Jumlah Pengangguran,
,2025,,2025,,2025,
,Februari,Agustus,Februari,Agustus,Februari,Agustus
15-19,200333,181379,821854,1321177,1022187,1502556
20-24,1001692,972616,1526049,1368395,2527741,2341011
25-29,787774,699549,531525,484539,1319299,1184088
30-34,469085,455146,150715,152022,619800,607168
35-39,228216,301281,122877,112418,351093,413699
40-44,265017,241624,67918,73380,332935,315004
45-49,245987,259237,40045,61591,286032,320828
50-54,183292,206099,59472,45710,242764,251809
55-59,209348,152653,53284,50832,262632,203485
60+,248255,250649,65569,71210,313824,321859
Total,3838999,3720233,3439308,3741274,7278307,7461507
